x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
500,430,560,400,620,430,620,480,560,500,500,480
630,430,680,400,730,430,730,480,680,500,630,480
740,430,790,400,840,430,840,480,790,500,740,480
860,430,910,400,960,430,960,480,910,500,860,480
980,430,1030,400,1080,430,1080,480,1030,500,980,480
1090,430,1140,400,1190,430,1190,480,1140,500,1090,480
1210,430,1260,400,1310,430,1310,480,1260,500,1210,480
550,500,610,470,670,500,670,550,610,570,550,550
680,500,730,470,780,500,780,550,730,570,680,550
800,500,850,470,900,500,900,550,850,570,800,550
920,500,970,470,1020,500,1020,550,970,570,920,550
1040,500,1090,470,1140,500,1140,550,1090,570,1040,550
1150,500,1210,470,1270,500,1270,550,1210,570,1150,550
1280,500,1330,470,1380,500,1380,550,1330,570,1280,550
480,580,540,550,600,580,600,630,540,650,480,630
610,580,660,550,710,580,710,630,660,650,610,630
730,580,780,550,830,580,830,630,780,650,730,630
850,580,900,550,950,580,950,630,900,650,850,630
980,580,1030,550,1080,580,1080,630,1030,650,980,630
1100,580,1160,550,1220,580,1220,630,1160,650,1100,630
1230,580,1280,550,1340,580,1340,630,1280,650,1230,630
530,670,580,640,630,670,630,720,580,740,530,720
650,670,710,640,770,670,770,720,710,740,650,720
790,670,850,640,910,670,910,720,850,740,790,720
920,670,980,640,1040,670,1040,720,980,740,920,720
1050,670,1110,640,1170,670,1170,720,1110,740,1050,720
1180,670,1240,640,1300,670,1300,720,1240,740,1180,720
1310,670,1370,640,1430,670,1430,720,1370,740,1310,720
